title,duplicate_count,urls,page_types,business_priorities,severity
"morfrac blog | sailing news, projects & yacht engineering",28,https://www.morfrac.com/blog | https://www.morfrac.com/blog/page/2 | https://www.morfrac.com/blog/tag/custom-9 | https://www.morfrac.com/blog/tag/events-12 | https://www.morfrac.com/blog/tag/manufacturing-8 | https://www.morfrac.com/blog/tag/media-5 | https://www.morfrac.com/blog/tag/morfblock-1 | https://www.morfrac.com/blog/tag/morfrac-network-10 | https://www.morfrac.com/blog/tag/morfwing-13 | https://www.morfrac.com/blog/tag/news-2 | https://www.morfrac.com/blog/tag/on-board-6 | https://www.morfrac.com/blog/tag/partners-11 | https://www.morfrac.com/blog/tag/powerfurl-4 | https://www.morfrac.com/blog/tag/shows-exhibitions-3 | https://www.morfrac.com/es/blog | https://www.morfrac.com/es/blog/page/2 | https://www.morfrac.com/es/blog/tag/custom-9 | https://www.morfrac.com/es/blog/tag/events-12 | https://www.morfrac.com/es/blog/tag/manufacturing-8 | https://www.morfrac.com/es/blog/tag/media-5,archive | general | system | technical_blog,ignore | low | medium,CRITICAL
morfrac online shop | high performance sailing hardware,10,https://www.morfrac.com/es/shop | https://www.morfrac.com/es/shop/page/11 | https://www.morfrac.com/es/shop/page/2 | https://www.morfrac.com/es/shop/page/3 | https://www.morfrac.com/es/shop/page/4 | https://www.morfrac.com/shop | https://www.morfrac.com/shop/page/11 | https://www.morfrac.com/shop/page/2 | https://www.morfrac.com/shop/page/3 | https://www.morfrac.com/shop/page/4,general | product,high | medium,HIGH
shop | powerfurl. | morfrac,10,https://www.morfrac.com/es/shop/category/powerfurl-1 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/2 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/3 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/4 | https://www.morfrac.com/es/shop/category/powerfurl-1/page/5 | https://www.morfrac.com/shop/category/powerfurl-1 | https://www.morfrac.com/shop/category/powerfurl-1/page/2 | https://www.morfrac.com/shop/category/powerfurl-1/page/3 | https://www.morfrac.com/shop/category/powerfurl-1/page/4 | https://www.morfrac.com/shop/category/powerfurl-1/page/5,product,high,HIGH
morfblock. | morfrac,8,https://www.morfrac.com/es/morfblock | https://www.morfrac.com/es/shop/category/morfblock-17 | https://www.morfrac.com/es/shop/category/morfblock-17/page/2 | https://www.morfrac.com/es/shop/category/morfblock-17/page/3 | https://www.morfrac.com/morfblock | https://www.morfrac.com/shop/category/morfblock-17 | https://www.morfrac.com/shop/category/morfblock-17/page/2 | https://www.morfrac.com/shop/category/morfblock-17/page/3,product,high,MEDIUM
t&c | morfrac,8,https://www.morfrac.com/disclaimer | https://www.morfrac.com/es/disclaimer | https://www.morfrac.com/es/shipping | https://www.morfrac.com/es/terms-conditions | https://www.morfrac.com/es/use | https://www.morfrac.com/shipping | https://www.morfrac.com/terms-conditions | https://www.morfrac.com/use,general | system,ignore | medium,MEDIUM
morfrac dogbone. - aluminium ø11mm | 60mm length | morfrac,7,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone60-23-12467 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone60-23-12467,product,high,MEDIUM
ti-shackle | ø6mm titanium shackle | 1.5t swl | morfrac,6,https://www.morfrac.com/es/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,product,high,MEDIUM
morfblock.[light] - 04 | 1500kg swl | lightweight sailing block | morfrac,6,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-morfblocklight-18/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,high,MEDIUM
powerfurl.[one] - furling kit shackles | 1.5t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/es/shop/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-furling-kit-shackles-12531 | https://www.morfrac.com/shop/powerfurl-one-furling-kit-shackles-12531,product,high,MEDIUM
powerfurl.[one] - lashing fitting | 1.5t swl | morfrac,5,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/es/shop/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524 | https://www.morfrac.com/shop/powerfurl-one-lashing-fitting-12524,product,high,MEDIUM
