h1,duplicate_count,urls,page_types,business_priorities,severity
stories.,26,https://www.morfrac.com/blog/tag/custom-9 | https://www.morfrac.com/blog/tag/events-12 | https://www.morfrac.com/blog/tag/manufacturing-8 | https://www.morfrac.com/blog/tag/materials-14 | https://www.morfrac.com/blog/tag/media-5 | https://www.morfrac.com/blog/tag/morfblock-1 | https://www.morfrac.com/blog/tag/morfrac-network-10 | https://www.morfrac.com/blog/tag/morfwing-13 | https://www.morfrac.com/blog/tag/news-2 | https://www.morfrac.com/blog/tag/on-board-6 | https://www.morfrac.com/blog/tag/partners-11 | https://www.morfrac.com/blog/tag/powerfurl-4 | https://www.morfrac.com/blog/tag/shows-exhibitions-3 | https://www.morfrac.com/es/blog/tag/custom-9 | https://www.morfrac.com/es/blog/tag/events-12 | https://www.morfrac.com/es/blog/tag/manufacturing-8 | https://www.morfrac.com/es/blog/tag/materials-14 | https://www.morfrac.com/es/blog/tag/media-5 | https://www.morfrac.com/es/blog/tag/morfblock-1 | https://www.morfrac.com/es/blog/tag/morfrac-network-10,archive | system,ignore | low,CRITICAL
morfrac,16,https://www.morfrac.com/about | https://www.morfrac.com/disclaimer | https://www.morfrac.com/es/about | https://www.morfrac.com/es/disclaimer | https://www.morfrac.com/es/privacy | https://www.morfrac.com/es/returns | https://www.morfrac.com/es/shipping | https://www.morfrac.com/es/terms-conditions | https://www.morfrac.com/es/use | https://www.morfrac.com/es/website/social/linkedin | https://www.morfrac.com/privacy | https://www.morfrac.com/returns | https://www.morfrac.com/shipping | https://www.morfrac.com/terms-conditions | https://www.morfrac.com/use | https://www.morfrac.com/website/social/linkedin,general | system,ignore | medium,HIGH
powerfurl.[one] - ti-shackle 6mm,7,https://www.morfrac.com/es/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/es/shop/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-24/ti-shackle-grade5-titanium-shackle-12526 | https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,product,high,MEDIUM
dogbone.60-23,7,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/es/shop/dogbone60-23-12467 | https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467 | https://www.morfrac.com/shop/dogbone60-23-12467,product,high,MEDIUM
morfblock.[light] - 04 - performance,6,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338 | https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,high,MEDIUM
[shop] | morfrac [shop] | all products,5,https://www.morfrac.com/shop | https://www.morfrac.com/shop/page/11 | https://www.morfrac.com/shop/page/2 | https://www.morfrac.com/shop/page/3 | https://www.morfrac.com/shop/page/4,general | product,high | medium,MEDIUM
[shop] | morfrac [shop] | powerfurl.,5,https://www.morfrac.com/shop/category/powerfurl-1 | https://www.morfrac.com/shop/category/powerfurl-1/page/2 | https://www.morfrac.com/shop/category/powerfurl-1/page/3 | https://www.morfrac.com/shop/category/powerfurl-1/page/4 | https://www.morfrac.com/shop/category/powerfurl-1/page/5,product,high,MEDIUM
[shop] ​ | morfrac[shop] | all products,5,https://www.morfrac.com/es/shop | https://www.morfrac.com/es/shop/page/11 | https://www.morfrac.com/es/shop/page/2 | https://www.morfrac.com/es/shop/page/3 | https://www.morfrac.com/es/shop/page/4,general | product,high | medium,MEDIUM
[shop] ​ | morfrac[shop] | almacenadores sin fin,5,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4 | https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,product,high,MEDIUM
morfblock.[light] - 0.5 - high load,5,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322 | https://www.morfrac.com/shop/morfblock-light-0-5-sailing-block-12322,product,high,MEDIUM
