entity_type,entity_name,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score
application,sail_handling,205,177,6,5,10,119.0,13.0,0.27
application,low_friction_rigging,146,125,6,2,1,0.0,0.0,0.0
application,rope_management,111,97,3,0,2,119.0,13.0,0.49
application,sheet_handling,111,84,14,2,6,119.0,13.0,0.49
application,furling_systems,85,75,1,2,2,119.0,13.0,0.64
application,deck_attachment,74,60,4,2,3,119.0,13.0,0.74
application,custom_engineering,66,33,2,6,9,589.0,16.0,2.38
application,soft_connection,15,13,2,0,0,0.0,0.0,0.0
engineering_concept,breaking_load,255,195,14,6,31,119.0,13.0,0.21
engineering_concept,swl,161,158,0,1,2,0.0,0.0,0.0
engineering_concept,lightweight,157,150,4,2,1,0.0,0.0,0.0
engineering_concept,high_load,120,119,0,1,0,0.0,0.0,0.0
engineering_concept,low_friction,51,43,4,2,0,0.0,0.0,0.0
engineering_concept,customizable,39,17,2,6,8,589.0,16.0,4.03
engineering_concept,cnc_machining,19,19,0,0,0,0.0,0.0,0.0
engineering_concept,marine_hardware,12,7,0,0,0,119.0,13.0,4.54
intent,brand,400,262,65,14,31,589.0,16.0,0.39
intent,commercial,357,272,65,10,2,470.0,3.0,0.29
intent,technical,96,55,0,0,31,0.0,0.0,0.0
intent,support,2,0,2,0,0,0.0,0.0,0.0
material,titanium,268,215,11,11,17,470.0,3.0,0.38
material,aluminium,71,61,0,6,4,470.0,3.0,1.45
material,ptfe,23,23,0,0,0,0.0,0.0,0.0
material,dyneema,7,7,0,0,0,0.0,0.0,0.0
material,stainless_steel,6,0,0,2,4,0.0,0.0,0.0
material,carbon,2,0,0,0,2,0.0,0.0,0.0
product_family,powerfurl,116,86,17,2,6,119.0,13.0,0.47
product_family,morfblock,106,81,14,2,6,119.0,13.0,0.51
product_family,dogbone,58,46,6,2,0,470.0,3.0,1.77
product_family,morfring,36,30,2,2,0,0.0,0.0,0.0
product_family,shackle,27,21,4,2,0,0.0,0.0,0.0
product_family,padeye,24,16,2,2,0,0.0,0.0,0.0
product_family,mloop,8,6,2,0,0,0.0,0.0,0.0
product_family,mreel,7,4,2,0,0,119.0,13.0,7.79
product_family,morfwing,6,0,0,2,4,0.0,0.0,0.0
product_family,hoistlock,1,1,0,0,0,0.0,0.0,0.0
