entity_type,entity_name,page_count,product_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,topic_authority_score,authority_tier,strategic_status,has_content_gap,entity_opportunity_score,entity_opportunity_type
product_family,dogbone,58,46,2,0,316,4,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,True,92.64,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
product_family,padeye,24,16,2,0,286,4,15.23,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,True,91.44,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
engineering_concept,marine_hardware,12,7,0,0,113,18,,,,False,84.52,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
application,soft_connection,14,12,0,0,0,0,,,,False,80.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
material,ptfe,24,24,0,0,0,0,,,,False,80.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
material,dyneema,7,7,0,0,0,0,,,,False,80.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
engineering_concept,cnc_machining,18,18,0,0,0,0,,,,False,80.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
product_family,morfring,37,31,2,0,0,0,17.35,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,True,80.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
product_family,mloop,8,6,0,0,0,0,,,,False,75.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
product_family,shackle,26,20,2,0,0,0,,,,False,60.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
intent,brand,400,264,14,31,715,26,,,,False,60.0,SEARCH_VISIBLE_COMMERCIAL_ENTITY
engineering_concept,high_load,120,119,1,0,0,0,,,,False,60.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
engineering_concept,low_friction,52,44,2,0,0,0,,,,False,60.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
product_family,powerfurl,114,84,2,6,113,18,0.1,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,True,59.52,ENTITY_HAS_CONTENT_GAP
product_family,morfblock,106,81,2,6,113,18,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,True,59.52,ENTITY_HAS_CONTENT_GAP
application,rope_management,109,97,0,2,113,18,,,,False,59.52,COMMERCIAL_ENTITY_NEEDS_PILLAR_PAGE
material,aluminium,75,65,6,4,602,8,,,,False,59.08,SEARCH_VISIBLE_COMMERCIAL_ENTITY
material,titanium,267,216,11,17,602,8,,,,False,59.08,SEARCH_VISIBLE_COMMERCIAL_ENTITY
intent,commercial,357,272,10,2,602,8,,,,False,59.08,SEARCH_VISIBLE_COMMERCIAL_ENTITY
intent,technical,94,55,0,31,0,0,,,,False,55.0,COMMERCIAL_ENTITY_NEEDS_PILLAR_PAGE
application,custom_engineering,63,32,6,9,429,22,,,,False,52.16,SEARCH_VISIBLE_COMMERCIAL_ENTITY
engineering_concept,customizable,39,17,6,8,429,22,,,,False,52.16,SEARCH_VISIBLE_COMMERCIAL_ENTITY
application,sail_handling,207,179,5,10,399,22,,,,False,50.96,SEARCH_VISIBLE_COMMERCIAL_ENTITY
application,deck_attachment,75,61,2,3,399,22,,,,False,50.96,SEARCH_VISIBLE_COMMERCIAL_ENTITY
product_family,mreel,7,4,0,0,113,18,,,,False,49.52,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
application,sheet_handling,111,84,2,6,113,18,,,,False,39.52,SEARCH_VISIBLE_COMMERCIAL_ENTITY
engineering_concept,breaking_load,254,194,6,31,113,18,,,,False,39.52,SEARCH_VISIBLE_COMMERCIAL_ENTITY
application,furling_systems,84,74,2,2,113,18,,,,False,39.52,SEARCH_VISIBLE_COMMERCIAL_ENTITY
application,low_friction_rigging,144,125,2,1,0,0,,,,False,35.0,MONITOR
engineering_concept,swl,161,158,1,2,0,0,,,,False,35.0,MONITOR
engineering_concept,lightweight,156,149,2,1,0,0,,,,False,35.0,MONITOR
product_family,hoistlock,1,1,0,0,0,0,,,,False,30.0,COMMERCIAL_ENTITY_NEEDS_AUTHORITY_CONTENT
intent,support,2,0,0,0,0,0,,,,False,0.0,MONITOR
material,carbon,2,0,0,2,0,0,,,,False,0.0,MONITOR
material,stainless_steel,6,0,2,4,0,0,,,,False,0.0,MONITOR
product_family,morfwing,6,0,2,4,0,0,,,,False,0.0,MONITOR
