source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,brand,product_links_to_parent,3528,7056
intent,commercial,intent,brand,general_internal_link,6608,6608
intent,brand,intent,commercial,product_links_to_parent,2872,5744
material,titanium,intent,brand,product_links_to_parent,2795,5590
engineering_concept,breaking_load,intent,brand,product_links_to_parent,2540,5080
material,titanium,intent,commercial,product_links_to_parent,2345,4690
application,sail_handling,intent,brand,product_links_to_parent,2290,4580
engineering_concept,breaking_load,intent,commercial,product_links_to_parent,2132,4264
engineering_concept,swl,intent,brand,product_links_to_parent,1966,3932
application,sail_handling,intent,commercial,product_links_to_parent,1922,3844
engineering_concept,lightweight,intent,brand,product_links_to_parent,1889,3778
engineering_concept,breaking_load,intent,brand,general_internal_link,3614,3614
material,titanium,intent,brand,general_internal_link,3575,3575
intent,brand,intent,commercial,general_internal_link,3408,3408
engineering_concept,swl,intent,commercial,product_links_to_parent,1648,3296
engineering_concept,lightweight,intent,commercial,product_links_to_parent,1583,3166
application,low_friction_rigging,intent,brand,product_links_to_parent,1582,3164
intent,commercial,material,titanium,product_links_to_parent,1536,3072
engineering_concept,high_load,intent,brand,product_links_to_parent,1531,3062
intent,brand,material,titanium,product_links_to_parent,1494,2988
intent,brand,material,titanium,general_internal_link,2939,2939
intent,brand,application,custom_engineering,general_internal_link,2756,2756
application,sail_handling,intent,brand,general_internal_link,2685,2685
intent,brand,application,low_friction_rigging,general_internal_link,2685,2685
intent,brand,engineering_concept,breaking_load,general_internal_link,2664,2664
application,low_friction_rigging,intent,commercial,product_links_to_parent,1326,2652
intent,commercial,material,titanium,general_internal_link,2614,2614
engineering_concept,high_load,intent,commercial,product_links_to_parent,1285,2570
application,rope_management,intent,brand,product_links_to_parent,1275,2550
intent,commercial,application,custom_engineering,general_internal_link,2431,2431
intent,commercial,application,low_friction_rigging,general_internal_link,2430,2430
product_family,powerfurl,intent,brand,product_links_to_parent,1197,2394
intent,commercial,engineering_concept,breaking_load,product_links_to_parent,1176,2352
intent,commercial,engineering_concept,breaking_load,general_internal_link,2321,2321
intent,brand,engineering_concept,breaking_load,product_links_to_parent,1143,2286
engineering_concept,breaking_load,material,titanium,product_links_to_parent,1100,2200
product_family,powerfurl,intent,brand,general_internal_link,2142,2142
application,rope_management,intent,commercial,product_links_to_parent,1069,2138
intent,brand,application,sail_handling,general_internal_link,2125,2125
application,sheet_handling,intent,brand,product_links_to_parent,1053,2106
intent,brand,product_family,powerfurl,general_internal_link,2100,2100
application,furling_systems,intent,brand,product_links_to_parent,1044,2088
product_family,morfblock,intent,brand,product_links_to_parent,1014,2028
product_family,powerfurl,intent,commercial,product_links_to_parent,1005,2010
application,sail_handling,material,titanium,product_links_to_parent,988,1976
application,low_friction_rigging,intent,brand,general_internal_link,1962,1962
intent,commercial,product_family,powerfurl,general_internal_link,1926,1926
intent,brand,application,sheet_handling,general_internal_link,1908,1908
intent,commercial,application,sail_handling,general_internal_link,1894,1894
application,sheet_handling,intent,brand,general_internal_link,1880,1880
engineering_concept,lightweight,intent,brand,general_internal_link,1867,1867
material,titanium,engineering_concept,breaking_load,product_links_to_parent,929,1858
product_family,morfblock,intent,brand,general_internal_link,1812,1812
intent,brand,intent,technical,general_internal_link,1778,1778
application,sheet_handling,intent,commercial,product_links_to_parent,885,1770
application,furling_systems,intent,commercial,product_links_to_parent,876,1752
engineering_concept,swl,intent,brand,general_internal_link,1740,1740
intent,commercial,application,sheet_handling,general_internal_link,1732,1732
intent,commercial,application,custom_engineering,product_links_to_parent,858,1716
intent,commercial,engineering_concept,customizable,product_links_to_parent,858,1716
engineering_concept,swl,material,titanium,product_links_to_parent,855,1710
intent,commercial,material,aluminium,product_links_to_parent,852,1704
product_family,morfblock,intent,commercial,product_links_to_parent,852,1704
material,titanium,application,low_friction_rigging,general_internal_link,1702,1702
material,titanium,application,custom_engineering,general_internal_link,1685,1685
engineering_concept,lightweight,material,titanium,product_links_to_parent,841,1682
intent,brand,application,custom_engineering,product_links_to_parent,831,1662
intent,brand,engineering_concept,customizable,product_links_to_parent,831,1662
intent,brand,material,aluminium,product_links_to_parent,828,1656
engineering_concept,breaking_load,application,low_friction_rigging,general_internal_link,1646,1646
material,aluminium,intent,brand,product_links_to_parent,819,1638
engineering_concept,breaking_load,application,custom_engineering,general_internal_link,1631,1631
intent,brand,application,deck_attachment,general_internal_link,1622,1622
engineering_concept,breaking_load,material,titanium,general_internal_link,1593,1593
application,sail_handling,engineering_concept,breaking_load,product_links_to_parent,775,1550
intent,brand,application,furling_systems,general_internal_link,1546,1546
intent,brand,application,rope_management,general_internal_link,1530,1530
intent,brand,product_family,dogbone,general_internal_link,1520,1520
intent,commercial,intent,technical,general_internal_link,1512,1512
application,deck_attachment,intent,brand,product_links_to_parent,751,1502
application,rope_management,intent,brand,general_internal_link,1484,1484
intent,commercial,application,deck_attachment,general_internal_link,1457,1457
material,titanium,engineering_concept,breaking_load,general_internal_link,1443,1443
intent,technical,intent,brand,product_links_to_parent,705,1410
application,low_friction_rigging,material,titanium,product_links_to_parent,701,1402
intent,brand,product_family,padeye,general_internal_link,1386,1386
intent,commercial,application,rope_management,general_internal_link,1385,1385
intent,commercial,application,furling_systems,general_internal_link,1384,1384
intent,commercial,product_family,dogbone,general_internal_link,1384,1384
intent,brand,engineering_concept,marine_hardware,general_internal_link,1376,1376
material,aluminium,intent,commercial,product_links_to_parent,685,1370
material,titanium,application,custom_engineering,product_links_to_parent,681,1362
material,titanium,engineering_concept,customizable,product_links_to_parent,681,1362
engineering_concept,swl,engineering_concept,breaking_load,product_links_to_parent,675,1350
material,titanium,material,aluminium,product_links_to_parent,675,1350
engineering_concept,high_load,intent,brand,general_internal_link,1330,1330
engineering_concept,high_load,material,titanium,product_links_to_parent,664,1328
application,sail_handling,application,low_friction_rigging,general_internal_link,1305,1305
material,titanium,application,sail_handling,general_internal_link,1295,1295
application,sail_handling,application,custom_engineering,general_internal_link,1268,1268
engineering_concept,breaking_load,application,sail_handling,general_internal_link,1264,1264
engineering_concept,lightweight,engineering_concept,breaking_load,product_links_to_parent,632,1264
application,deck_attachment,intent,commercial,product_links_to_parent,629,1258
intent,commercial,product_family,padeye,general_internal_link,1250,1250
intent,commercial,engineering_concept,marine_hardware,general_internal_link,1238,1238
engineering_concept,breaking_load,application,custom_engineering,product_links_to_parent,616,1232
engineering_concept,breaking_load,engineering_concept,customizable,product_links_to_parent,616,1232
engineering_concept,breaking_load,material,aluminium,product_links_to_parent,612,1224
application,sail_handling,material,titanium,general_internal_link,1221,1221
intent,commercial,application,sheet_handling,product_links_to_parent,608,1216
