entity_type,entity_name,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score
application,sail_handling,197,174,2,5,9,363.0,19.0,0.79
application,low_friction_rigging,140,125,2,2,1,0.0,0.0,0.0
application,sheet_handling,117,84,20,2,6,173.0,19.0,0.52
application,rope_management,108,95,3,0,1,173.0,19.0,0.57
application,furling_systems,81,71,1,2,2,173.0,19.0,0.75
application,deck_attachment,75,60,4,2,4,363.0,19.0,2.07
application,custom_engineering,65,32,2,7,10,549.0,22.0,1.99
application,soft_connection,14,12,2,0,0,190.0,0.0,6.71
engineering_concept,breaking_load,259,191,20,6,31,173.0,19.0,0.24
engineering_concept,swl,159,155,0,2,2,0.0,0.0,0.0
engineering_concept,lightweight,154,149,0,2,1,190.0,0.0,0.61
engineering_concept,high_load,120,118,0,2,0,0.0,0.0,0.0
engineering_concept,low_friction,48,44,0,2,0,0.0,0.0,0.0
engineering_concept,customizable,41,17,2,7,9,549.0,22.0,3.15
engineering_concept,cnc_machining,18,18,0,0,0,0.0,0.0,0.0
engineering_concept,marine_hardware,12,7,0,0,0,173.0,19.0,5.09
intent,brand,400,258,69,14,31,549.0,22.0,0.32
intent,commercial,355,266,69,10,2,566.0,3.0,0.46
intent,technical,93,54,0,0,31,190.0,0.0,1.01
intent,support,2,0,2,0,0,0.0,0.0,0.0
material,titanium,262,213,7,12,16,566.0,3.0,0.62
material,aluminium,70,62,0,6,2,376.0,3.0,0.97
material,ptfe,24,24,0,0,0,0.0,0.0,0.0
material,dyneema,7,7,0,0,0,190.0,0.0,13.43
material,stainless_steel,4,0,0,2,2,0.0,0.0,0.0
material,carbon,2,0,0,0,2,0.0,0.0,0.0
product_family,morfblock,112,81,20,2,6,173.0,19.0,0.55
product_family,powerfurl,111,81,17,2,6,173.0,19.0,0.55
product_family,dogbone,58,46,6,2,0,376.0,3.0,1.18
product_family,morfring,37,31,2,2,0,0.0,0.0,0.0
product_family,padeye,26,16,2,2,2,0.0,0.0,0.0
product_family,shackle,26,20,4,2,0,0.0,0.0,0.0
product_family,mloop,8,6,2,0,0,190.0,0.0,11.75
product_family,mreel,7,4,2,0,0,173.0,19.0,8.73
product_family,morfwing,6,0,0,2,4,0.0,0.0,0.0
product_family,hoistlock,1,1,0,0,0,0.0,0.0,0.0
