metric,previous,latest,delta,direction,interpretation
total_pages,500.0,500.0,0.0,NO CHANGE,neutral
indexable_pages,471.0,472.0,1.0,UP,better
high_priority_pages,393.0,393.0,0.0,NO CHANGE,neutral
ignored_pages,22.0,22.0,0.0,NO CHANGE,neutral
pages_with_issues,0.0,0.0,0.0,NO CHANGE,neutral
avg_word_count,484.8,487.4,2.599999999999966,UP,better
avg_internal_links,43.0,43.1,0.10000000000000142,UP,better
avg_commercial_seo_score,0.0,0.0,0.0,NO CHANGE,neutral
missing_meta_pages,0.0,0.0,0.0,NO CHANGE,neutral
short_title_pages,0.0,0.0,0.0,NO CHANGE,neutral
multiple_h1_pages,0.0,0.0,0.0,NO CHANGE,neutral
thin_content_pages,0.0,0.0,0.0,NO CHANGE,neutral
weak_internal_linking_pages,0.0,0.0,0.0,NO CHANGE,neutral
