url,page_type,business_priority,commercial_relevance,authority_value,authority_cluster,inbound_internal_links,unique_linking_pages,outbound_internal_links,unique_target_pages,total_search_impressions,max_opportunity_score,primary_queries,search_intents,internal_link_graph_score,internal_link_priority
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,high,high,high,mloop,2.0,2.0,37.0,37.0,187.0,130.0,m loop | mloop,commercial,205.0,CRITICAL
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,product,high,high,high,mloop,2.0,2.0,37.0,37.0,122.0,130.0,mloop,commercial,205.0,CRITICAL
https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,high,high,high,morfblock,0.0,0.0,38.0,38.0,7.0,70.0,mor 004,product_code,178.0,CRITICAL
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,product,high,high,high,shackle,2.0,2.0,37.0,37.0,12.0,80.0,d shackle,commercial,173.0,CRITICAL
https://www.morfrac.com/shop/morfblock-light-4-hl-12823,product,high,high,high,morfblock,2.0,2.0,37.0,37.0,18.0,50.0,mor 004,product_code,163.0,CRITICAL
https://www.morfrac.com/shop/dogbone60-23-12467,product,high,high,high,dogbone,0.0,0.0,36.0,36.0,0.0,0.0,,,160.0,CRITICAL
https://www.morfrac.com/es/shop/dogbone60-23-12467,product,high,high,high,dogbone,0.0,0.0,36.0,36.0,0.0,0.0,,,160.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-fitting-12561,product,high,high,high,powerfurl,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-fork-2-1-fitting-12562,product,high,high,high,powerfurl,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-ten-drum-bottom-furling-unit-12560,product,high,high,high,powerfurl,2.0,2.0,44.0,44.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/shop/shackle-17-4ph-12827,product,high,high,high,shackle,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-morfblocksnatch-19/morfblock-snatch-1-5-12475,product,high,high,high,morfblock,2.0,2.0,37.0,37.0,0.0,0.0,,,145.0,CRITICAL
https://www.morfrac.com/shop/category/powerfurl-powerfurl-singleline-30,product,high,high,high,powerfurl,2.0,2.0,71.0,71.0,0.0,0.0,,,145.0,CRITICAL
