query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,opportunity_score,opportunity_level
mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,181.0,0.0,3.0,3.0,7.4,Non-branded,commercial,product,130,VERY HIGH
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,124.0,0.0,4.0,4.0,5.85,Non-branded,commercial,product,130,VERY HIGH
dogbone,https://www.morfrac.com/dogbone,0.0,117.0,0.0,2.5,2.5,8.38,Non-branded,commercial,landing,115,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,0.0,52.0,0.0,2.5,2.5,8.12,Non-branded,commercial,landing,95,VERY HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,3.5,3.5,6.83,Non-branded,commercial,landing,95,VERY HIGH
dogbone sailing,https://www.morfrac.com/dogbone,0.0,8.0,0.0,3.0,3.0,8.0,Non-branded,commercial,landing,95,VERY HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,7.0,0.0,4.0,4.0,5.57,Non-branded,commercial,landing,95,VERY HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,9.0,0.0,3.5,3.5,6.11,Non-branded,commercial,landing,95,VERY HIGH
dogbones,https://www.morfrac.com/dogbone,1.0,109.0,0.92,0.6,-0.32000000000000006,20.86,Non-branded,commercial,landing,85,VERY HIGH
cancamo pasante,https://www.morfrac.com/es/padeye,0.0,9.0,0.0,2.0,2.0,9.33,Non-branded,commercial,landing,85,VERY HIGH
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,11.0,0.0,1.0,1.0,10.91,Non-branded,commercial,product,80,VERY HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,21.0,0.0,4.0,4.0,5.52,Non-branded,commercial,blog,80,VERY HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,14.0,0.0,1.0,1.0,10.57,Non-branded,commercial,product,80,VERY HIGH
mor 004,https://www.morfrac.com/shop/morfblock-light-4-p-12338,0.0,6.0,0.0,1.0,1.0,13.5,Non-branded,product_code,product,70,HIGH
dog bone rigging,https://www.morfrac.com/dogbone,0.0,6.0,0.0,10.0,10.0,2.33,Non-branded,commercial,landing,70,HIGH
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,1.0,46.0,2.17,3.5,1.33,6.8,Non-branded,commercial,blog,70,HIGH
dog bones,https://www.morfrac.com/es/dogbone,0.0,9.0,0.0,5.0,5.0,4.22,Non-branded,unknown,landing,65,HIGH
dog bone sailing,https://www.morfrac.com/dogbone,0.0,6.0,0.0,3.5,3.5,6.5,Non-branded,unknown,landing,65,HIGH
dog bone steel,https://www.morfrac.com/dogbone,0.0,8.0,0.0,4.0,4.0,5.88,Non-branded,unknown,landing,65,HIGH
dogbones,https://www.morfrac.com/es/dogbone,0.0,31.0,0.0,0.8,0.8,16.16,Non-branded,commercial,landing,65,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,40.0,0.0,0.2,0.2,84.78,Non-branded,commercial,landing,50,MEDIUM
mor 004,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,0.0,17.0,0.0,0.6,0.6,24.53,Non-branded,product_code,product,50,MEDIUM
dog bone connection,https://www.morfrac.com/dogbone,0.0,6.0,0.0,1.0,1.0,10.83,Non-branded,unknown,landing,45,MEDIUM
helice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,32.0,0.0,7.0,7.0,3.62,Non-branded,unknown,blog,35,LOW
mofrac,https://www.morfrac.com/,0.0,5.0,0.0,7.0,7.0,3.2,Non-branded,unknown,home,30,LOW
helices de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,0.0,6.0,0.0,10.0,10.0,2.17,Non-branded,unknown,blog,25,LOW
3d printed molds uk,https://www.morfrac.com/blog/stories-4/3d-printed-molds-10,0.0,5.0,0.0,0.6,0.6,22.6,Non-branded,unknown,blog,10,LOW
