query,page,normalized_url
mreel,https://www.morfrac.com/shop/mreel-three-rope-reeler-12628,/shop/mreel-three-rope-reeler-12628
02 xl,https://www.morfrac.com/es/shop/morfblock-xl-02-performance-sailing-block-12374,/es/shop/morfblock-xl-02-performance-sailing-block-12374
10pack,https://www.morfrac.com/shop/morfring-15-10pack-friction-ring-12898,/shop/morfring-15-10pack-friction-ring-12898
block 05,https://www.morfrac.com/shop/morfblock-light-05-performance-sailing-block-12342,/shop/morfblock-light-05-performance-sailing-block-12342
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,/blog/news-1/farr-x2-5
farr x2,https://www.morfrac.com/es/blog/blog-1/farr-x2-5,/es/blog/blog-1/farr-x2-5
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,/blog/news-1/farr-x2-5
farr x2 yacht,https://www.morfrac.com/blog/news-1/farr-x2-5,/blog/news-1/farr-x2-5
four ti,https://www.morfrac.com/es/shop/powerfurl-1/powerfurl-four-ti-shackle-12511,/es/shop/powerfurl-1/powerfurl-four-ti-shackle-12511
furler shackles,https://www.morfrac.com/shop/powerfurl-six-furling-kit-shackle-12618,/shop/powerfurl-six-furling-kit-shackle-12618
grip.de,https://www.morfrac.com/es/blog/blog-1/mas-agarre-con-el-soft-grip-de-morfrac-1,/es/blog/blog-1/mas-agarre-con-el-soft-grip-de-morfrac-1
gripde,https://www.morfrac.com/es/blog/blog-1/mas-agarre-con-el-soft-grip-de-morfrac-1,/es/blog/blog-1/mas-agarre-con-el-soft-grip-de-morfrac-1
macring,https://www.morfrac.com/es/shop/morfring-40-ptfe-friction-ring-12479,/es/shop/morfring-40-ptfe-friction-ring-12479
