query,page,clicks,impressions,ctr_percent,expected_ctr,ctr_gap,position,query_type,intent,page_type,issue_count,title_length,meta_description_length,issues,opportunity_score,opportunity_level
mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,125.0,0.0,3.5,3.5,6.73,Non-branded,commercial,product,0,44.0,158.0,,130,VERY HIGH
dogbone,https://www.morfrac.com/es/dogbone,1.0,104.0,0.96,3.5,2.54,6.47,Non-branded,commercial,landing,0,19.0,134.0,,125,VERY HIGH
dogbone,https://www.morfrac.com/dogbone,1.0,110.0,0.91,3.0,2.09,7.5,Non-branded,commercial,landing,0,19.0,134.0,,125,VERY HIGH
mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,0.0,37.0,0.0,3.0,3.0,7.3,Non-branded,commercial,product,0,44.0,158.0,,110,VERY HIGH
dog bone shackle,https://www.morfrac.com/dogbone,0.0,7.0,0.0,3.5,3.5,7.0,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
deck pad eye,https://www.morfrac.com/padeye,0.0,20.0,0.0,5.0,5.0,4.05,Non-branded,commercial,landing,0,18.0,133.0,,105,VERY HIGH
dogbone shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,3.5,3.5,6.33,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
dogbone sailing,https://www.morfrac.com/dogbone,0.0,9.0,0.0,3.0,3.0,7.44,Non-branded,commercial,landing,0,19.0,134.0,,105,VERY HIGH
m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,0.0,25.0,0.0,2.0,2.0,9.24,Non-branded,commercial,product,0,44.0,158.0,,100,VERY HIGH
dog bone steel,https://www.morfrac.com/dogbone,0.0,5.0,0.0,2.5,2.5,8.2,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dog bone soft shackle,https://www.morfrac.com/dogbone,0.0,6.0,0.0,2.0,2.0,9.17,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbones,https://www.morfrac.com/dogbone,0.0,34.0,0.0,1.0,1.0,13.68,Non-branded,commercial,landing,0,19.0,134.0,,95,HIGH
dogbones,https://www.morfrac.com/es/dogbone,1.0,26.0,3.85,7.0,3.15,3.15,Non-branded,commercial,landing,0,19.0,134.0,,90,HIGH
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,0.0,7.0,0.0,1.0,1.0,13.57,Non-branded,product_code,product,0,0.0,0.0,,90,HIGH
dogbone carriers,https://www.morfrac.com/dogbone,0.0,17.0,0.0,1.0,1.0,13.18,Non-branded,commercial,landing,0,19.0,134.0,,85,HIGH
custom shackles,https://www.morfrac.com/shackle,0.0,13.0,0.0,1.0,1.0,10.54,Non-branded,commercial,landing,0,22.0,127.0,,85,HIGH
farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,0.0,10.0,0.0,1.0,1.0,10.2,Non-branded,commercial,blog,0,0.0,0.0,,80,HIGH
soft padeye,https://www.morfrac.com/padeye,1.0,8.0,12.5,1.0,-11.5,10.25,Non-branded,commercial,landing,0,18.0,133.0,,75,HIGH
dog bone rigging,https://www.morfrac.com/dogbone,2.0,16.0,12.5,5.0,-7.5,4.81,Non-branded,commercial,landing,0,19.0,134.0,,75,HIGH
titanium shackle,https://www.morfrac.com/shackle,1.0,15.0,6.67,3.0,-3.67,7.33,Non-branded,commercial,landing,0,22.0,127.0,,75,HIGH
dogbone joint,https://www.morfrac.com/dogbone,0.0,61.0,0.0,0.2,0.2,42.7,Non-branded,commercial,landing,0,19.0,134.0,,60,MEDIUM
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,17.0,0.0,0.8,0.8,16.47,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,21.0,0.0,0.8,0.8,16.1,Non-branded,commercial,product,0,45.0,170.0,,60,MEDIUM
aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,10.0,0.0,5.0,5.0,4.5,Non-branded,unknown,blog,0,82.0,230.0,,50,MEDIUM
conurban marine,https://www.morfrac.com/partner,0.0,6.0,0.0,2.5,2.5,8.83,Non-branded,unknown,other,0,32.0,94.0,,45,LOW
aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,0.0,9.0,0.0,7.0,7.0,3.44,Non-branded,unknown,blog,0,82.0,230.0,,25,LOW
mapfrac,https://www.morfrac.com/,0.0,5.0,0.0,0.4,0.4,39.2,Non-branded,unknown,home,0,43.0,160.0,,5,LOW
