query,page,clicks,impressions,ctr_percent,position,query_type
| morfrac,https://www.morfrac.com/,13.0,50.0,26.0,1.0,Branded
morfrac systems,https://www.morfrac.com/,9.0,43.0,20.93,1.02,Branded
morfblock,https://www.morfrac.com/morfblock,4.0,35.0,11.43,3.57,Branded
morfrac,https://www.morfrac.com/es,3.0,28.0,10.71,1.04,Branded
farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,2.0,62.0,3.23,8.03,Non-branded
morf block,https://www.morfrac.com/morfblock,2.0,38.0,5.26,1.0,Branded
morfac,https://www.morfrac.com/,2.0,12.0,16.67,2.25,Branded
morfrac systems,https://www.morfrac.com/es,2.0,4.0,50.0,1.0,Branded
dog bone shackle,https://www.morfrac.com/dogbone,1.0,16.0,6.25,6.38,Non-branded
mofrac,https://www.morfrac.com/,1.0,10.0,10.0,2.9,Non-branded
morfac,https://www.morfrac.com/es,1.0,1.0,100.0,2.0,Branded
morfrac,https://www.morfrac.com/contactus,1.0,1.0,100.0,1.0,Branded
morfrac,https://www.morfrac.com/es/shop,1.0,13.0,7.69,1.08,Branded
morfrac,https://www.morfrac.com/shop,1.0,50.0,2.0,1.12,Branded
morfrac systems,https://www.morfrac.com/es/shop,1.0,1.0,100.0,1.0,Branded
morfrac systems,https://www.morfrac.com/powerfurl,1.0,42.0,2.38,1.19,Branded
powerfurl,https://www.morfrac.com/powerfurl,1.0,51.0,1.96,1.61,Branded
powerfurl,https://www.morfrac.com/shop/category/powerfurl-1,1.0,52.0,1.92,2.5,Branded
titanium shackle,https://www.morfrac.com/es/shop/shackle6-12526,1.0,1.0,100.0,11.0,Non-branded
"""orza"" sailing command",https://www.morfrac.com/es/morfwing,0.0,7.0,0.0,4.0,Non-branded
02 xl,https://www.morfrac.com/es/shop/morfblock-xl-02-performance-sailing-block-12374,0.0,3.0,0.0,15.67,Non-branded
60-23,https://www.morfrac.com/shop/dogbone60-23-12467,0.0,1.0,0.0,2.0,Non-branded
70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,0.0,1.0,0.0,22.0,Non-branded
accessories dog bone,https://www.morfrac.com/dogbone,0.0,1.0,0.0,54.0,Non-branded
almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,0.0,5.0,0.0,1.8,Non-branded
bild,https://www.morfrac.com/padeye,0.0,1.0,0.0,8.0,Non-branded
brofmxeulatiskenpf,https://www.morfrac.com/es,0.0,3.0,0.0,5.67,Non-branded
camfrac,https://www.morfrac.com/,0.0,5.0,0.0,34.0,Non-branded
camfrac,https://www.morfrac.com/about,0.0,7.0,0.0,46.14,Non-branded
cancamo pasante,https://www.morfrac.com/es/padeye,0.0,2.0,0.0,10.0,Non-branded
conurban marine,https://www.morfrac.com/partner,0.0,4.0,0.0,8.75,Non-branded
custom efl frames,https://www.morfrac.com/custom,0.0,36.0,0.0,48.17,Non-branded
d schakle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,9.0,Non-branded
d shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,5.0,0.0,12.4,Non-branded
d shacle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,11.0,Non-branded
d-shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,2.0,0.0,11.0,Non-branded
d-shackles,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,10.0,Non-branded
de frac,https://www.morfrac.com/,0.0,1.0,0.0,30.0,Non-branded
de shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,8.0,Non-branded
deck pad eye,https://www.morfrac.com/padeye,0.0,8.0,0.0,5.75,Non-branded
dee shackle,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,0.0,1.0,0.0,11.0,Non-branded
