url,title,h1,page_type,page_role,business_priority,commercial_relevance,authority_value,word_count,manual_topic_label,semantic_cluster_id,clicks,impressions,seo_priority_score
https://www.morfrac.com/,MORFRAC | High Performance Sailing Hardware,more for your project. | more for your boat. | MORFRAC,general,general,medium,medium,medium,500,powerfurl,4,21.0,172.0,61.4
https://www.morfrac.com/about,About | MORFRAC,MORFRAC,general,general,medium,medium,medium,953,custom_engineering,1,0.0,0.0,0.0
https://www.morfrac.com/become-a-morfrac-trade-partner,Become a Partner | MORFRAC,Join the MORFRAC Network | Become a trade partner,general,general,medium,medium,medium,659,other,1,0.0,0.0,0.0
https://www.morfrac.com/blog,"MORFRAC Blog | Sailing News, Projects & Yacht Engineering",,general,general,medium,medium,medium,977,custom_engineering,1,0.0,0.0,0.0
https://www.morfrac.com/blog/custom-6/40000-times-its-weight-15,MORFRAC | Custom. Blocks,"40,000 times its weight",technical_blog,authority_content,medium,medium,high,776,morfblock,4,0.0,0.0,0.0
https://www.morfrac.com/blog/custom-6/colour-coding-12,Colour Coding | MORFRAC,Colour Coding,technical_blog,authority_content,medium,medium,high,712,morfblock,1,0.0,0.0,0.0
https://www.morfrac.com/blog/custom-6/cunningham-furler-25,MORFRAC | Custom. Solutions,Cunningham Furler,technical_blog,authority_content,medium,medium,high,728,powerfurl,4,0.0,0.0,0.0
https://www.morfrac.com/blog/custom-6/pignose-titanium-24,MORFRAC | Custom. Solutions,Titanium pignose,technical_blog,authority_content,medium,medium,high,708,custom_engineering,4,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/2024-what-a-year-32,2024... What a year! | MORFRAC,2024... What a year!,technical_blog,authority_content,medium,medium,high,1202,other,1,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/introducing-morfwing-31,Introducing 𝗺𝗼𝗿𝗳𝘄𝗶𝗻𝗴. | MORFRAC,Introducing 𝗺𝗼𝗿𝗳𝘄𝗶𝗻𝗴.,technical_blog,authority_content,medium,medium,high,732,morfwing,1,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/mets-2024-17,MORFRAC @ METS2024 | MORFWING,Heading to Amsterdam - METS 2024,technical_blog,authority_content,medium,medium,high,805,morfwing,1,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/morfrac-de-walle-sails-33,powerfurl. and morfblock. @ de Walle Sails NL,MORFRAC joins the launch of de Walle Sails,technical_blog,authority_content,medium,medium,high,822,powerfurl,1,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/new-powerfurl-one-38,¡The new 𝗽𝗼𝘄𝗲𝗿𝗳𝘂𝗿𝗹.[𝗼𝗻𝗲]! | MORFRAC,New 𝗽𝗼𝘄𝗲𝗿𝗳𝘂𝗿𝗹.[𝗼𝗻𝗲] just landed!,technical_blog,authority_content,medium,medium,high,755,powerfurl,1,0.0,0.0,0.0
https://www.morfrac.com/blog/news-1/set-sail-with-morfrac-16,Ready to Set Sail | Morfrac,Ready to Set Sail,technical_blog,authority_content,medium,medium,high,721,other,1,0.0,0.0,0.0
https://www.morfrac.com/blog/stories-4/3d-printed-molds-10,3D Printed Molds | MORFRAC,3D Printed Molds,technical_blog,authority_content,medium,medium,high,706,custom_engineering,1,0.0,0.0,0.0
https://www.morfrac.com/blog/stories-4/custom-padeyes-11,Custom padeyes | MORFRAC,Custom padeyes,technical_blog,authority_content,medium,medium,high,701,padeye,4,0.0,0.0,0.0
https://www.morfrac.com/contactus,Contact Us | MORFRAC,Contact us,general,general,medium,medium,medium,260,other,1,0.0,0.0,0.0
https://www.morfrac.com/custom,Custom. | MORFRAC,custom. | YOUR WAY. | YOUR WAY.,general,general,medium,medium,medium,1294,dogbone,4,0.0,0.0,0.0
https://www.morfrac.com/dogbone,dogbones. | MORFRAC,dogbone. | YOUR LINK. | YOUR LINK.,product,landing,high,high,high,747,dogbone,5,3.0,363.0,66.9
https://www.morfrac.com/es,MORFRAC - Herrajes para Yates y Soluciones a Medida,más para tu proyecto. ​ | más para tu barco. | MORFRAC,general,general,medium,medium,medium,494,other,1,0.0,0.0,0.0
https://www.morfrac.com/morfblock,morfblock. | MORFRAC,morfblock. | YOUR BLOCK. | get your morfblock.,product,landing,high,high,high,1325,morfblock,1,0.0,0.0,0.0
https://www.morfrac.com/morfring,morfring. | MORFRAC,morfring. | SMOOOOOTH. | SMOOOOOTH.,general,landing,medium,medium,medium,845,morfring,10,0.0,0.0,0.0
https://www.morfrac.com/morfwing,morfwing. | MORFRAC,morfwing. | YOUR POWER. | get your morfwing.,product,landing,high,high,high,1641,morfwing,1,0.0,0.0,0.0
https://www.morfrac.com/padeye,padeyes. | MORFRAC,padeye. | YOUR ATTACHMENT. | YOUR ATTACHMENT.,product,landing,high,high,high,1327,padeye,1,0.0,0.0,0.0
https://www.morfrac.com/partner,Friends and Partners  |  MORFRAC,PARTNERS,system,general,ignore,low,low,620,other,1,0.0,0.0,0.0
https://www.morfrac.com/powerfurl,powerfurl. | MORFRAC,powerfurl. | YOUR FURLER. | powerfurl.[custom],product,landing,high,high,high,1530,powerfurl,4,0.0,0.0,0.0
https://www.morfrac.com/shackle,Ti-shackles. | MORFRAC,Ti-shackle. | YOUR CONNECTION | YOUR CONNECTION,general,landing,medium,medium,medium,575,shackle,4,0.0,0.0,0.0
https://www.morfrac.com/shop,MORFRAC Online Shop | High Performance Sailing Hardware,[shop] | MORFRAC [shop] | All products,general,general,medium,medium,medium,611,dogbone,1,0.0,0.0,0.0
https://www.morfrac.com/shop/category/custom-33,custom. | MORFRAC,[shop] | MORFRAC [shop] | custom.,product,category,high,high,high,433,custom_engineering,3,0.0,0.0,0.0
https://www.morfrac.com/shop/category/dogbone-25,dogbone. | MORFRAC,[shop] | MORFRAC [shop] | dogbone.,product,category,high,high,high,537,dogbone,3,0.0,0.0,0.0
https://www.morfrac.com/shop/category/dogbone-dogbone-al-28,dogbone. [Al] | MORFRAC,[shop] | MORFRAC [shop] | dogbone. [Al],product,category,high,high,high,461,dogbone,3,0.0,0.0,0.0
https://www.morfrac.com/shop/category/dogbone-dogbone-ti-29,dogbone. [Ti] | MORFRAC,[shop] | MORFRAC [shop] | dogbone. [Ti],product,category,high,high,high,473,dogbone,3,0.0,0.0,0.0
https://www.morfrac.com/shop/category/mainsail-systems-39,mainsail systems | MORFRAC,[shop] | MORFRAC [shop] | mainsail systems,product,category,high,high,high,406,other,3,0.0,0.0,0.0
