semantic_cluster_id,dominant_label,topic_authority_score,authority_tier,strategic_status,commercial_strength,authority_strength,structural_health,gap_penalty,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,gap_type,gap_score,contextual_link_recommendations,contextual_link_density,recommended_action
10,morfring,16.95,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,47.0,20.0,60,24.5,16,15,0,1,0,0,0,0.0,OK,Missing technical authority content,95.0,47.0,2.94,Create technical guide content supporting the morfring product family.
5,dogbone,13.96,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,49.2,27.82,40,25.0,31,30,0,1,0,376,3,2.2,FRAGMENTED_TOPIC,Missing technical authority content,150.2,214.0,6.9,Create technical guide content supporting the dogbone product family.
3,powerfurl,9.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,20.0,40,18.5,42,0,42,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing category support,35.0,102.0,2.43,Create or improve category structure for powerfurl pages.
8,powerfurl,6.3,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,20.0,8.0,50,18.5,5,5,0,0,0,0,0,0.0,OK,Missing category support,35.0,16.0,3.2,Create or improve category structure for powerfurl pages.
6,morfblock,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,195.0,6.5,Create technical guide content supporting the morfblock product family.
0,morfblock,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,73.0,5.21,Create technical guide content supporting the morfblock product family.
9,powerfurl,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,11,11,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,148.0,78.0,7.09,Create technical guide content supporting the powerfurl product family.
2,morfblock,1.1,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,24.0,20.0,25,21.8,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing category support,68.0,51.0,8.5,Create or improve category structure for morfblock pages.
11,powerfurl,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,8.5,25,25.0,19,19,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,17.0,0.89,Create technical guide content supporting the powerfurl product family.
7,powerfurl,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,24.0,0.0,25,21.8,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing category support,68.0,0.0,0.0,Create or improve category structure for powerfurl pages.
