semantic_cluster_id,dominant_label,topic_authority_score,authority_tier,strategic_status,commercial_strength,authority_strength,structural_health,gap_penalty,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,gap_type,gap_score,contextual_link_recommendations,contextual_link_density,recommended_action
0,morfblock,31.21,WEAK,TOPIC_AT_RISK,62.79,63.52,40,25.0,36,11,0,4,11,616,2,2.79,FRAGMENTED_TOPIC,Missing category support,107.79,22.0,0.61,Create or improve category structure for morfblock pages.
5,morfwing,20.75,VERY_WEAK,TOPIC_AT_RISK,12.0,43.0,60,16.5,10,0,0,1,9,0,0,0.0,OK,Authority content lacks commercial target,15.0,6.0,0.6,Link existing authority content toward relevant morfwing product/category pages.
7,padeye,16.8,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,44.0,8.0,60,19.4,10,8,0,1,1,0,0,0.0,OK,Missing category support,44.0,0.0,0.0,Create or improve category structure for padeye pages.
10,powerfurl,8.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,20.0,60,25.0,15,0,15,0,0,0,0,0.0,OK,Missing technical authority content,145.0,80.0,5.33,Create technical guide content supporting the powerfurl product family.
11,mreel,5.87,VERY_WEAK,TOPIC_AT_RISK,27.6,5.22,50,20.62,5,4,0,0,0,126,27,11.6,OK,Search demand without authority support,56.2,0.0,0.0,Build authority content around mreel queries and link to commercial pages.
4,morfblock,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,58,58,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,406.0,7.0,Create technical guide content supporting the morfblock product family.
3,dogbone,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,214.0,7.13,Create technical guide content supporting the dogbone product family.
6,powerfurl,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,52.0,2.17,Create technical guide content supporting the powerfurl product family.
2,powerfurl,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,19,19,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,69.0,3.63,Create technical guide content supporting the powerfurl product family.
8,morfring,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,12,12,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,151.0,47.0,3.92,Create technical guide content supporting the morfring product family.
1,morfblock,0.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,11.0,40,25.0,28,0,27,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing category support,107.79,22.0,0.79,Create or improve category structure for morfblock pages.
