semantic_cluster_id,dominant_label,topic_authority_score,authority_tier,strategic_status,commercial_strength,authority_strength,structural_health,gap_penalty,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,gap_type,gap_score,contextual_link_recommendations,contextual_link_density,recommended_action
8,other,28.55,WEAK,TOPIC_AT_RISK,60.0,51.0,40,22.3,43,11,0,3,18,0,0,0.0,FRAGMENTED_TOPIC,Missing category support,73.0,22.0,0.51,Create or improve category structure for other pages.
10,shackle,21.0,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,44.0,20.0,60,19.4,9,8,0,1,0,0,0,0.0,OK,Missing category support,44.0,40.0,4.44,Create or improve category structure for shackle pages.
9,mreel,20.6,VERY_WEAK,TOPIC_AT_RISK,16.0,0.0,50,0.0,5,4,0,0,0,0,0,0.0,OK,,0.0,0.0,0.0,
5,morfring,17.11,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,63.07,22.96,40,25.0,22,20,0,2,0,143,1,4.07,FRAGMENTED_TOPIC,Missing technical authority content,134.37,47.0,2.14,Create technical guide content supporting the morfring product family.
2,morfblock,15.4,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,44.0,20.0,60,25.0,8,6,2,0,0,0,0,0.0,OK,Missing technical authority content,145.0,71.0,8.88,Create technical guide content supporting the morfblock product family.
6,dogbone,14.49,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,49.97,28.58,40,25.0,31,30,0,1,0,414,3,2.97,FRAGMENTED_TOPIC,Missing technical authority content,150.97,214.0,6.9,Create technical guide content supporting the dogbone product family.
3,morfblock,10.5,VERY_WEAK,TOPIC_AT_RISK,22.0,28.0,60,25.0,7,3,1,0,3,0,0,0.0,OK,Missing technical authority content,145.0,8.0,1.14,Create technical guide content supporting the morfblock product family.
0,morfblock,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,38,38,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,247.0,6.5,Create technical guide content supporting the morfblock product family.
1,powerfurl,3.25,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,30,25.0,27,27,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,53.0,1.96,Create technical guide content supporting the powerfurl product family.
4,powerfurl,2.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,25.0,20.0,40,25.0,39,0,39,0,0,0,0,0.0,FRAGMENTED_TOPIC,Missing technical authority content,145.0,69.0,1.77,Create technical guide content supporting the powerfurl product family.
7,powerfurl,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,15,15,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,84.0,5.6,Create technical guide content supporting the powerfurl product family.
11,morfblock,1.75,VERY_WEAK,HIGH_COMMERCIAL_LOW_AUTHORITY,35.0,20.0,25,25.0,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,Missing technical authority content,155.0,73.0,5.21,Create technical guide content supporting the morfblock product family.
