date,sessions_7_change,sessions_28_change,click_change,impression_change,ctr_change,position_change,alerts,opportunities,campaigns
2026-05-26,-41.3,14.7,33.3,0.3,32.9,0.67,1,5,3
2026-05-27,3.3,15.4,25.8,-0.4,26.4,0.33,0,5,3
2026-06-01,21.9,10.4,28.1,2.7,24.8,-1.63,0,6,3
2026-06-05,-4.3,4.5,36.7,-4.8,43.6,-2.64,0,5,3
2026-06-08,-20.9,-14.0,60.0,7.2,49.2,-3.7,1,5,3
2026-06-15,46.3,-38.5,41.2,19.2,18.4,-4.03,1,6,3
2026-06-22,9.6,-28.5,-2.4,5.2,-7.2,-1.39,1,4,4
2026-06-29,201.7,23.4,0.0,12.5,-11.1,-0.37,0,6,4
2026-07-06,-73.3,48.5,-28.0,4.1,-30.9,0.24,3,5,4
2026-07-14,10.4,84.0,-20.8,3.3,-23.3,0.67,2,5,4
2026-07-27,82.9,7.7,-11.9,-11.1,-0.9,0.19,0,5,4
2026-08-03,-29.7,25.8,15.4,-8.9,26.7,0.15,1,6,4
2026-08-10,-34.4,11.9,7.7,-18.3,31.8,0.14,1,5,4
2026-08-17,-44.8,-8.7,34.3,-16.5,60.9,0.15,1,6,4
